AI Code,AI Institution Name,AI Street Address 1,AI Street Address 2,AI Street Address 3,AI State,AI Zip Code
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
113068,Hapeville Career Academy,6045 Buffington Road,,Atlanta,GA,30349
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
119163,Northwestern Middle School,12805 Birmingham Highway,,Alpharetta,GA,30004
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111154,North Springs Charter High Sch,7447 Roswell Road Northeast,,Sandy Springs,GA,30328
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
111268,Langston Hughes High School,7510 Hall Road,,Fairburn,GA,30213
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
110216,Riverwood International Charte,5900 Raider Drive,,Sandy Springs,GA,30328
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
110060,Milton High School,13025 Birmingham Highway,,Milton,GA,30004
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112623,Centennial High School,9310 Scott Road,,Roswell,GA,30076
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111265,Creekside High School,7405 Herndon Road,,Fairburn,GA,30213
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
111175,Tri-Cities High School,2575 Harris Street,,East Point,GA,30344
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
110794,Banneker High School,6015 Feldwood Road,,College Park,GA,30349
110258,Westlake High School,2400 Union Road Southwest,,Atlanta,GA,30331
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
110058,Alpharetta High School,3595 Webb Bridge Road,,Alpharetta,GA,30005
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
111866,Johns Creek High School,5575 State Bridge Road,,Johns Creek,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112129,Cambridge High School,2845 Bethany Bend,,Milton,GA,30004
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
110146,Chattahoochee High School,5230 Taylor Road,,Alpharetta,GA,30022
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
111148,Northview High School,10625 Parsons Road,,Duluth,GA,30097
112625,Roswell High School,11595 King Road,,Roswell,GA,30075
